2018-01-27T10:44:09.249+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56634 #30 (16 connections now open)
2018-01-27T10:44:09.250+0800 I NETWORK  [conn30] received client metadata from 127.0.0.1:56634 conn30: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T10:44:09.291+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56635 #31 (17 connections now open)
2018-01-27T10:44:09.291+0800 I NETWORK  [conn31] received client metadata from 127.0.0.1:56635 conn31: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T10:52:14.563+0800 I -        [conn27] end connection 127.0.0.1:56605 (17 connections now open)
2018-01-27T10:52:29.779+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56763 #32 (17 connections now open)
2018-01-27T10:52:29.791+0800 I NETWORK  [conn32] received client metadata from 127.0.0.1:56763 conn32: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T11:01:56.010+0800 I -        [conn32] end connection 127.0.0.1:56763 (17 connections now open)
2018-01-27T11:01:58.194+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56916 #33 (17 connections now open)
2018-01-27T11:01:58.205+0800 I NETWORK  [conn33] received client metadata from 127.0.0.1:56916 conn33: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T11:03:38.685+0800 I -        [conn33] end connection 127.0.0.1:56916 (17 connections now open)
2018-01-27T11:03:40.507+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56960 #34 (17 connections now open)
2018-01-27T11:03:40.514+0800 I NETWORK  [conn34] received client metadata from 127.0.0.1:56960 conn34: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T11:07:50.579+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57049 #35 (18 connections now open)
2018-01-27T11:07:50.581+0800 I NETWORK  [conn35] received client metadata from 127.0.0.1:57049 conn35: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T11:07:50.625+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57050 #36 (19 connections now open)
2018-01-27T11:07:50.626+0800 I NETWORK  [conn36] received client metadata from 127.0.0.1:57050 conn36: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T11:08:05.628+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57058 #37 (20 connections now open)
2018-01-27T11:08:05.628+0800 I NETWORK  [conn37] received client metadata from 127.0.0.1:57058 conn37: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T11:08:05.680+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57059 #38 (21 connections now open)
2018-01-27T11:08:05.690+0800 I NETWORK  [conn38] received client metadata from 127.0.0.1:57059 conn38: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T11:09:04.623+0800 I -        [conn34] end connection 127.0.0.1:56960 (21 connections now open)
2018-01-27T11:09:09.217+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57281 #39 (21 connections now open)
2018-01-27T11:09:09.227+0800 I NETWORK  [conn39] received client metadata from 127.0.0.1:57281 conn39: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T11:09:55.840+0800 I -        [conn39] end connection 127.0.0.1:57281 (21 connections now open)
2018-01-27T11:09:58.285+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57315 #40 (21 connections now open)
2018-01-27T11:09:58.291+0800 I NETWORK  [conn40] received client metadata from 127.0.0.1:57315 conn40: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T11:10:00.105+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57316 #41 (22 connections now open)
2018-01-27T11:10:00.106+0800 I NETWORK  [conn41] received client metadata from 127.0.0.1:57316 conn41: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T11:10:00.144+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57317 #42 (23 connections now open)
2018-01-27T11:10:00.144+0800 I NETWORK  [conn42] received client metadata from 127.0.0.1:57317 conn42: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T11:10:42.541+0800 I -        [conn40] end connection 127.0.0.1:57315 (23 connections now open)
2018-01-27T11:10:44.921+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57351 #43 (23 connections now open)
2018-01-27T11:10:44.921+0800 I NETWORK  [conn43] received client metadata from 127.0.0.1:57351 conn43: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T11:10:44.962+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57352 #44 (24 connections now open)
2018-01-27T11:10:44.965+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57353 #45 (25 connections now open)
2018-01-27T11:10:44.968+0800 I NETWORK  [conn44] received client metadata from 127.0.0.1:57352 conn44: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T11:10:44.976+0800 I NETWORK  [conn45] received client metadata from 127.0.0.1:57353 conn45: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T11:10:53.711+0800 I -        [conn44] end connection 127.0.0.1:57352 (25 connections now open)
2018-01-27T11:10:55.592+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57357 #46 (25 connections now open)
2018-01-27T11:10:55.602+0800 I NETWORK  [conn46] received client metadata from 127.0.0.1:57357 conn46: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T11:11:16.604+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:57373 #47 (26 connections now open)
